article_id,published,title,url,feed_label,ProjectNumber,EWS Project Name,EWS hyperlink,Matched
10f9ed2,1/11/18,ADB Provides Support for Three Infrastructure Projects in Cambodia,http://moderndiplomacy.eu/2018/01/11/adb-provides-support-three-infrastructure-projects-cambodia/,NEWS ADB - All Streams,"ADB-41123-015, ADB-48158-001, ADB-41435-053","Road Network Improvement Project (formerly Second Road Asset Management Project) (ADB-41123-015); Provincial Water Supply and Sanitation Project (ADB-48158-001); Tonle Sap Poverty Reduction and Smallholder Development Project - Additional Financing (ADB-41435-053)",https://ewsdata.rightsindevelopment.org/projects/41123-015-road-network-improvement-project-formerly-second/; https://ewsdata.rightsindevelopment.org/projects/48158-001-provincial-water-supply-and-sanitation-project/;,1
c0eece9b,5/13/18,ADB Helps Inaugurate New Power Distribution Network in Southwest Kabul,http://feedproxy.google.com/~r/adb_news/~3/2MylhkP_6EA/adb-helps-inaugurate-new-power-distribution-network-southwest-kabul,NEWS ADB - All Streams,ADB-47282-001,Energy Supply Improvement Investment Program (ADB-47282-001),https://ewsdata.rightsindevelopment.org/projects/47282-001-energy-supply-improvement-investment-program/,1
d1d79dd8,2/20/18,ADB Provides $360 Million for Rolling Stock to Boost Bangladesh Railway,http://feedproxy.google.com/~r/adb_news/~3/v9sYF6AvwkY/adb-provides-360-million-rolling-stock-boost-bangladesh-railway,NEWS ADB - All Streams,ADB-50312-003,Railway Rolling Stock Operations Improvement Project,https://ewsdata.rightsindevelopment.org/projects/50312-003-railway-rolling-stock-operations-improvement-proje/,1
f0d65e5,2/25/18,ADB provides financing to Thailand's B.Grimm Power for renewable energy expansion,https://www.dealstreetasia.com/stories/adb-b-grimm-power-thailand-93095/,NEWS ADB - All Streams,ADB-50410-001,ASEAN Distributed Power Project: Initial Poverty and Social Analysis (ADB-50410-001),https://ewsdata.rightsindevelopment.org/projects/50410-001-asean-distributed-power-project-initial-poverty-a/,1
4a557358,2/26/18,ADB's $235m loan to support B.Grimm Power expansion in ASEAN region,https://www.power-technology.com/news/adbs-235m-loan-support-b-grimm-power-expansion-asean-region/,NEWS ADB - All Streams,ADB-50410-001,ASEAN Distributed Power Project: Initial Poverty and Social Analysis (ADB-50410-001),https://ewsdata.rightsindevelopment.org/projects/50410-001-asean-distributed-power-project-initial-poverty-a/,1
817a9fee,2/23/18,B.Grimm Power secures ADB loan to support renewable energy in Asean,https://esg.theasset.com/ESG/34144/bgrimm-power-secures-adb-loan-to-support-renewable-energy-in-asean,NEWS ADB - All Streams,ADB-50410-001,ASEAN Distributed Power Project: Initial Poverty and Social Analysis (ADB-50410-001),https://ewsdata.rightsindevelopment.org/projects/50410-001-asean-distributed-power-project-initial-poverty-a/,1
1d18e02b,2/27/18,B.Grimm Power secures ADB loan for ASEAN renewable energy project,http://solar.energy-business-review.com/news/bgrimm-power-secures-adb-loan-for-asean-renewable-energy-project-260218-6065668,NEWS ADB - All Streams,ADB-50410-001,ASEAN Distributed Power Project: Initial Poverty and Social Analysis (ADB-50410-001),https://ewsdata.rightsindevelopment.org/projects/50410-001-asean-distributed-power-project-initial-poverty-a/,1
5ae8d202,2/22/18,"ADB, B.Grimm Power Expand Support for Renewable Energy in ASEAN",http://feedproxy.google.com/~r/adb_news/~3/CHQeRYReXMM/adb-bgrimm-power-expand-support-renewable-energy-asean,NEWS ADB - All Streams,ADB-50410-001,ASEAN Distributed Power Project: Initial Poverty and Social Analysis (ADB-50410-001),https://ewsdata.rightsindevelopment.org/projects/50410-001-asean-distributed-power-project-initial-poverty-a/,1
e9482ff2,2/24/18,"ADB, B.Grimm Power Expand Support for Renewable Energy in ASEAN",http://moderndiplomacy.eu/2018/02/24/adb-b-grimm-power-expand-support-renewable-energy-asean/,NEWS ADB - All Streams,ADB-50410-001,ASEAN Distributed Power Project: Initial Poverty and Social Analysis (ADB-50410-001),https://ewsdata.rightsindevelopment.org/projects/50410-001-asean-distributed-power-project-initial-poverty-a/,1
c2a956dd,5/7/18,"ADB loan, equity to Ameriabank to help promote financial inclusion in Armenia",http://arka.am/en/news/business/adb_loan_equity_to_ameriabank_to_help_promote_financial_inclusion_in_armenia/,NEWS ADB - All Streams,,,,0
9fd5c398,2/6/18,AfDB okays $10million bond support fund,http://thenationonlineng.net/afdb-okays-10million-bond-support-fund/,NEWS AFDB- All Streams,,,,0
b2d42591,3/26/18,AfDB to launch 12 projects for agricultural SMEs in 6 African countries on March 27-29,https://www.ecofinagency.com/public-management/2603-38250-afdb-to-launch-12-projects-for-agricultural-smes-in-6-african-countries-on-march-27-29,NEWS AFDB- All Streams,,,,0
6c25cda0,6/3/18,AIIB seeks to strengthen co-op with Azerbaijan,https://www.azernews.az/business/133053.html,NEWS AIIB - All Streams,AIIB-000011,Azerbaijan: Trans Anatolian Natural Gas Pipeline Project (TANAP),https://ewsdata.rightsindevelopment.org/projects/000011-azerbaijan-trans-anatolian-natural-gas-pipeline-p/,1
