article_id,published,title,url,feed_label,Sectors,cl_Sector,top_sector
10f9ed2,2018-01-11,ADB Provides Support for Three Infrastructure Projects in Cambodia,http://moderndiplomacy.eu/2018/01/11/adb-provides-support-three-infrastructure-projects-cambodia/,NEWS ADB - All Streams,Infrastructure,infrastructure,infrastructure
c0eece9b,2018-05-13,ADB Helps Inaugurate New Power Distribution Network in Southwest Kabul,http://feedproxy.google.com/~r/adb_news/~3/2MylhkP_6EA/adb-helps-inaugurate-new-power-distribution-network-southwest-kabul,NEWS ADB - All Streams,Energy,energy,energy
d1d79dd8,2018-02-20,ADB Provides $360 Million for Rolling Stock to Boost Bangladesh Railway,http://feedproxy.google.com/~r/adb_news/~3/v9sYF6AvwkY/adb-provides-360-million-rolling-stock-boost-bangladesh-railway,NEWS ADB - All Streams,Transport,transport,transport
f0d65e5,2018-02-25,ADB provides financing to Thailand's B.Grimm Power for renewable energy expansion,https://www.dealstreetasia.com/stories/adb-b-grimm-power-thailand-93095/,NEWS ADB - All Streams,"Construction, Finance","construction, finance",construction
4a557358,2018-02-26,ADB's $235m loan to support B.Grimm Power expansion in ASEAN region,https://www.power-technology.com/news/adbs-235m-loan-support-b-grimm-power-expansion-asean-region/,NEWS ADB - All Streams,"Construction, Finance","construction, finance",construction
817a9fee,2018-02-23,B.Grimm Power secures ADB loan to support renewable energy in Asean,https://esg.theasset.com/ESG/34144/bgrimm-power-secures-adb-loan-to-support-renewable-energy-in-asean,NEWS ADB - All Streams,"Construction, Finance","construction, finance",construction
1d18e02b,2018-02-27,B.Grimm Power secures ADB loan for ASEAN renewable energy project,http://solar.energy-business-review.com/news/bgrimm-power-secures-adb-loan-for-asean-renewable-energy-project-260218-6065668,NEWS ADB - All Streams,"Construction, Finance","construction, finance",construction
5ae8d202,2018-02-22,"ADB, B.Grimm Power Expand Support for Renewable Energy in ASEAN",http://feedproxy.google.com/~r/adb_news/~3/CHQeRYReXMM/adb-bgrimm-power-expand-support-renewable-energy-asean,NEWS ADB - All Streams,"Construction, Finance","construction, finance",construction
e9482ff2,2018-02-24,"ADB, B.Grimm Power Expand Support for Renewable Energy in ASEAN",http://moderndiplomacy.eu/2018/02/24/adb-b-grimm-power-expand-support-renewable-energy-asean/,NEWS ADB - All Streams,"Construction, Finance","construction, finance",construction
c2a956dd,2018-05-07,"ADB loan, equity to Ameriabank to help promote financial inclusion in Armenia",http://arka.am/en/news/business/adb_loan_equity_to_ameriabank_to_help_promote_financial_inclusion_in_armenia/,NEWS ADB - All Streams,Finance,finance,finance
9fd5c398,2018-02-06,AfDB okays $10million bond support fund,http://thenationonlineng.net/afdb-okays-10million-bond-support-fund/,NEWS AFDB- All Streams,Finance,finance,finance
b2d42591,2018-03-26,AfDB to launch 12 projects for agricultural SMEs in 6 African countries on March 27-29,https://www.ecofinagency.com/public-management/2603-38250-afdb-to-launch-12-projects-for-agricultural-smes-in-6-african-countries-on-march-27-29,NEWS AFDB- All Streams,Finance,finance,finance
6c25cda0,2018-06-03,AIIB seeks to strengthen co-op with Azerbaijan,https://www.azernews.az/business/133053.html,NEWS AIIB - All Streams,Energy,energy,energy
f08d78,2018-02-26,"AIIB approves $60 million for Bangladesh power plant, considering investing $885m more",https://bdnews24.com/economy/2018/02/27/aiib-approves-60-million-for-bangladesh-power-plant-considering-investing-885m-more,NEWS AIIB - All Streams,Energy,energy,energy
21bcdf5b,2018-02-26,"AIIB approves $285 million of loans to Bangladesh for power, energy",https://www.reuters.com/article/bangladesh-aiib-investment/aiib-approves-285-million-of-loans-to-bangladesh-for-power-energy-idUSL4N1QG448,NEWS AIIB - All Streams,Energy,energy,energy
cb7b1ba,2018-02-26,"AIIB approves $285 million of loans to Bangladesh for power, energy",https://in.reuters.com/article/bangladesh-aiib-investment/aiib-approves-285-million-of-loans-to-bangladesh-for-power-energy-idINKCN1GA1DB,NEWS AIIB - All Streams,Energy,energy,energy
d71af9e4,2018-02-27,"AIIB approves $285m of loans to Bangladesh for power, energy",http://en.prothomalo.com/economy/news/171731/AIIB-approves-285m-of-loans-to-Bangladesh-for,NEWS AIIB - All Streams,Energy,energy,energy
ed93f7da,2018-02-26,AIIB approves $285m in loans to Bangladesh for power projects,https://www.dealstreetasia.com/stories/aiib-approves-285m-of-loans-to-bangladesh-for-power-energy-93146/,NEWS AIIB - All Streams,Energy,energy,energy
def9e94e,2018-06-03,"Andhra land acquisition law passed under World Bank ""direction"" to build capital Amravati, as land pooling system fails",https://www.counterview.net/2018/06/andhra-land-acquisition-law-passed.html,NEWS AIIB - All Streams,Infrastructure,infrastructure,infrastructure
b37f386d,2018-04-12,AIIB to invest $140mn to perk up rural roads in Madhya Pradesh,http://www.uniindia.com/~/aiib-to-invest-140mn-to-perk-up-rural-roads-in-madhya-pradesh/Business%20Economy/news/1197761.html,NEWS AIIB - All Streams,Transport,transport,transport
7d30b559,2018-04-12,AIIB grants $140 mn loan to improve Madhya Pradesh's rural roads,https://www.thehindubusinessline.com/news/national/aiib-grants-140-mn-loan-to-improve-madhya-pradeshs-rural-roads/article23514007.ece,NEWS AIIB - All Streams,Transport,transport,transport
53b2c218,2018-02-21,"With Port Project, Georgia Seeks Place on China's Belt and Road",https://eurasianet.org/s/with-port-project-georgia-seeks-place-on-chinas-belt-and-road,NEWS AIIB - All Streams,Infrastructure,infrastructure,infrastructure
9917d30a,2018-01-09,"Metro Manila flood control project may start in Jan, gov't says",http://news.abs-cbn.com/business/01/09/18/metro-manila-flood-control-project-may-start-in-jan-govt-says,NEWS AIIB - All Streams,Water and Sanitation,water and sanitation,water and sanitation
8d7610c9,2018-02-21,"BMRCL may tweak packages, tunnel length on Dairy Circle-Nagawara route",https://timesofindia.indiatimes.com/city/bengaluru/bmrcl-may-tweak-packages-tunnel-length-on-dairy-circle-nagawara-route/articleshow/63020183.cms,NEWS AIIB - All Streams,Transport,transport,transport
e447cff1,2018-01-16,European investment bank & BMRCL sign project pact on funding metro phase 2 line,https://timesofindia.indiatimes.com/business/india-business/european-investment-bank-bmrcl-sign-project-pact-on-funding-metro-phase-2-line/articleshow/62529794.cms,NEWS AIIB - All Streams,Transport,transport,transport
328b7a21,2018-02-20,"10 towns in Krishna, Guntur to get new water schemes",https://timesofindia.indiatimes.com/city/visakhapatnam/10-towns-in-krishna-guntur-to-get-new-water-schemes/articleshow/63004649.cms,NEWS AIIB - All Streams,Water and Sanitation,water and sanitation,water and sanitation
9b695369,2018-05-08,Andhra Pradesh government accords sanction for water supply project,http://www.newindianexpress.com/cities/vijayawada/2018/may/09/andhra-pradesh-government-accords-sanction-for-water-supply-project-1812268.html,NEWS AIIB - All Streams,Water and Sanitation,water and sanitation,water and sanitation
67ebc632,2018-02-26,"AIIB approves $285 million of loans to Bangladesh for power, energy",https://in.reuters.com/article/bangladesh-aiib-investment/aiib-approves-285-million-of-loans-to-bangladesh-for-power-energy-idINKCN1GA1DB,NEWS AIIB - All Streams,Energy,energy,energy
8eba7336,2018-03-06,AIIB approves loan to Bangladesh Independent Power Project,https://www.theasset.com/belt-road-online/34203/aiib-approves-loan-to-bangladesh-independent-power-project,NEWS AIIB - All Streams,Energy,energy,energy
1d0142a4,2018-02-26,AIIB approves 60 mln USD loan for Bangladesh power project,http://www.xinhuanet.com/english/2018-02/27/c_137001645.htm,NEWS AIIB - All Streams,Energy,energy,energy
11a35f15,2018-02-26,AIIB approves $60mn loan for Bangladesh power project,http://www.thedailystar.net/country/asian-infrastructure-investment-bank-aiib-approves-60mn-loan-for-bangladesh-power-project-1540462,NEWS AIIB - All Streams,Energy,energy,energy
961f2ed8,2018-02-28,AIIB approves loan for Bangladesh Bhola IPP energy project,http://www.power-technology.com/news/aiib-approves-loan-bangladesh-bhola-ipp-energy-project/,NEWS AIIB - All Streams,Energy,energy,energy
