article_id,published,title,HyperLink,url,feed_label,Sectors,Bank1,Bank2,Country1,Country2,Projects(EWSProjectID),EWS Project Name,EWS hyperlink
10f9ed2,1/11/18,ADB Provides Support for Three Infrastructure Projects in Cambodia,http://moderndiplomacy.eu/2018/01/11/adb-provides-support-three-infrastructure-projects-cambodia/,http://moderndiplomacy.eu/2018/01/11/adb-provides-support-three-infrastructure-projects-cambodia/,NEWS ADB - All Streams,Infrastructure,ADB,,Cambodia,,"ADB-41123-015, ADB-48158-001, ADB-41435-053","Road Network Improvement Project (formerly Second Road Asset Management Project) (ADB-41123-015); Provincial Water Supply and Sanitation Project (ADB-48158-001); Tonle Sap Poverty Reduction and Smallholder Development Project - Additional Financing (ADB-41435-053)
",https://ewsdata.rightsindevelopment.org/projects/41123-015-road-network-improvement-project-formerly-second/; https://ewsdata.rightsindevelopment.org/projects/48158-001-provincial-water-supply-and-sanitation-project/;
ac62f9df,1/30/18,ADB commits $250 loan for all-weather roads in 5 states,http://www.ddinews.gov.in/business/adb-commits-250-loan-all-weather-roads-5-states,http://www.ddinews.gov.in/business/adb-commits-250-loan-all-weather-roads-5-states,NEWS ADB - All Streams,Transport,ADB,,India,,ADB-48226-002,Second Rural Connectivity Investment Program (,https://ewsdata.rightsindevelopment.org/projects/ADB-40423-033/
d1d79dd8,2/20/18,ADB Provides $360 Million for Rolling Stock to Boost Bangladesh Railway,http://feedproxy.google.com/~r/adb_news/~3/v9sYF6AvwkY/adb-provides-360-million-rolling-stock-boost-bangladesh-railway,http://feedproxy.google.com/~r/adb_news/~3/v9sYF6AvwkY/adb-provides-360-million-rolling-stock-boost-bangladesh-railway,NEWS ADB - All Streams,Transport,ADB,,Bangladesh,,ADB-50312-003,Railway Rolling Stock Operations Improvement Project,https://ewsdata.rightsindevelopment.org/projects/50312-003-railway-rolling-stock-operations-improvement-proje/
f0d65e5,2/25/18,ADB provides financing to Thailand's B.Grimm Power for renewable energy expansion,https://www.dealstreetasia.com/stories/adb-b-grimm-power-thailand-93095/,https://www.dealstreetasia.com/stories/adb-b-grimm-power-thailand-93095/,NEWS ADB - All Streams,"Construction, Finance",ADB,,Thailand,,ADB-50410-001,ASEAN Distributed Power Project: Initial Poverty and Social Analysis (ADB-50410-001),https://ewsdata.rightsindevelopment.org/projects/50410-001-asean-distributed-power-project-initial-poverty-a/
4a557358,2/26/18,ADB's $235m loan to support B.Grimm Power expansion in ASEAN region,https://www.power-technology.com/news/adbs-235m-loan-support-b-grimm-power-expansion-asean-region/,https://www.power-technology.com/news/adbs-235m-loan-support-b-grimm-power-expansion-asean-region/,NEWS ADB - All Streams,"Construction, Finance",ADB,,Thailand,,ADB-50410-001,ASEAN Distributed Power Project: Initial Poverty and Social Analysis (ADB-50410-001),https://ewsdata.rightsindevelopment.org/projects/50410-001-asean-distributed-power-project-initial-poverty-a/
153bd809,2/23/18,B.Grimm Power secures ADB loan to support renewable energy in Asean,https://www.theasset.com/capital-markets/34144/bgrimm-power-secures-adb-loan-to-support-renewable-energy-in-asean,https://www.theasset.com/capital-markets/34144/bgrimm-power-secures-adb-loan-to-support-renewable-energy-in-asean,NEWS ADB - All Streams,"Construction, Finance",ADB,,Thailand,,ADB-50410-001,ASEAN Distributed Power Project: Initial Poverty and Social Analysis (ADB-50410-001),https://ewsdata.rightsindevelopment.org/projects/50410-001-asean-distributed-power-project-initial-poverty-a/
817a9fee,2/23/18,B.Grimm Power secures ADB loan to support renewable energy in Asean,https://esg.theasset.com/ESG/34144/bgrimm-power-secures-adb-loan-to-support-renewable-energy-in-asean,https://esg.theasset.com/ESG/34144/bgrimm-power-secures-adb-loan-to-support-renewable-energy-in-asean,NEWS ADB - All Streams,"Construction, Finance",ADB,,Thailand,,ADB-50410-001,ASEAN Distributed Power Project: Initial Poverty and Social Analysis (ADB-50410-001),https://ewsdata.rightsindevelopment.org/projects/50410-001-asean-distributed-power-project-initial-poverty-a/
ed32373b,2/27/18,ADB offers $235m loan to B.Grimm Power for ASEAN renewable energy expansion,http://solar.cleantechnology-business-review.com/news/adb-to-finance-bgrimm-power-with-235m-to-develop-renewable-energy-capacity-in-asean-countries-260218-6065605,http://solar.cleantechnology-business-review.com/news/adb-to-finance-bgrimm-power-with-235m-to-develop-renewable-energy-capacity-in-asean-countries-260218-6065605,NEWS ADB - All Streams,"Construction, Finance",ADB,,Thailand,,ADB-50410-001,ASEAN Distributed Power Project: Initial Poverty and Social Analysis (ADB-50410-001),https://ewsdata.rightsindevelopment.org/projects/50410-001-asean-distributed-power-project-initial-poverty-a/
1d18e02b,2/27/18,B.Grimm Power secures ADB loan for ASEAN renewable energy project,http://solar.energy-business-review.com/news/bgrimm-power-secures-adb-loan-for-asean-renewable-energy-project-260218-6065668,http://solar.energy-business-review.com/news/bgrimm-power-secures-adb-loan-for-asean-renewable-energy-project-260218-6065668,NEWS ADB - All Streams,"Construction, Finance",ADB,,Thailand,,ADB-50410-001,ASEAN Distributed Power Project: Initial Poverty and Social Analysis (ADB-50410-001),https://ewsdata.rightsindevelopment.org/projects/50410-001-asean-distributed-power-project-initial-poverty-a/
5ae8d202,2/22/18,"ADB, B.Grimm Power Expand Support for Renewable Energy in ASEAN",http://feedproxy.google.com/~r/adb_news/~3/CHQeRYReXMM/adb-bgrimm-power-expand-support-renewable-energy-asean,http://feedproxy.google.com/~r/adb_news/~3/CHQeRYReXMM/adb-bgrimm-power-expand-support-renewable-energy-asean,NEWS ADB - All Streams,"Construction, Finance",ADB,,Thailand,,ADB-50410-001,ASEAN Distributed Power Project: Initial Poverty and Social Analysis (ADB-50410-001),https://ewsdata.rightsindevelopment.org/projects/50410-001-asean-distributed-power-project-initial-poverty-a/
