EWS ID,ProjectNumber,Published,Bank Risk Rating,Project Status,EWS URL,Detailed Analysis URL,Project Name,City,Country Count,Country 1,Country 2,Country 3,Country 4,Country 5,Country 6,Country 7,Country 8,Country 9,Country 10,Country 11,Country 12,Private Actor Count,Private Actor 1,Private Actor 2,Private Actor 3,Private Actor 4,Private Actor 5,Private Actor 6,Private Actor 7,Private Actor 8,Private Actor 9,Private Actor 10,Private Actor 11,Private Actor 12,Private Actor 13,Private Actor 14,Private Actor 15,Bank Count,Bank 1,Bank 2,Bank 3,Bank 4,Bank 5,Sector Count,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Last Edited,Date Scraped,Date Disclosed,Board Date,Source URL,Project Cost,Investment Amount,Partners Contacted,Partners Responded,Communities Informed,Community Response,People Trained,Information Requested,Analysis URL,Lead Person Count,Lead Person 1,Lead Person 2,Lead Person 3,Lead Person 4,Lead Person 5,Lead Person 6,Lead Person 7
32158,ADB-51039-002,Published,B,Proposed,https://ews.rightsindevelopment.org/projects/51039-002-horticulture-value-chain-development-sector-projec/,,Horticulture Value Chain Development Sector Project,,1,Afghanistan,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,0,,,,,,,,4/12/18,4/6/18,3/9/18,,https://www.adb.org/projects/51039-002/main,,,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
31531,ADB-51035-001,Published,B,Proposed,https://ews.rightsindevelopment.org/projects/51035-001-health-services-sector-development-program-subpro/,,"Health Services Sector Development Program, Subprogram 1",,1,Papua New Guinea,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Education and Health,,,,,,,12/19/17,12/15/17,9/28/17,,https://www.adb.org/projects/51035-001/main,,245,Yes,No,No,No,0,No,,1,Tom Weerachat,,,,,,
31514,ADB-50312-003,Published,C,Proposed,https://ews.rightsindevelopment.org/projects/50312-003-railway-rolling-stock-operations-improvement-proje/,,Railway Rolling Stock Operations Improvement Project,,1,Bangladesh,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Transport,,,,,,,1/3/18,12/13/17,9/27/17,,https://www.adb.org/projects/50312-003/main,860,,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
31485,ADB-38260-013,Published,U,Proposed,https://ews.rightsindevelopment.org/projects/38260-013-mff-north-east-region-urban-sector-development-i/,,MFF - North East Region Urban Sector Development Investment Program (Facility Concept),,1,India,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Infrastructure,,,,,,,1/10/18,12/12/17,5/28/08,,https://www.adb.org/projects/38260-013/main,,250,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
31486,ADB-38260-023,Published,U,Proposed,https://ews.rightsindevelopment.org/projects/38260-023-mff-north-east-region-urban-sector-development-i/,,MFF - North East Region Urban Sector Development Investment Program (Subproject 1),North East Region,1,India,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Infrastructure,,,,,,,3/21/18,12/12/17,5/28/08,,https://www.adb.org/projects/38260-023/main,,31,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
31487,ADB-50107-002,Published,A,Proposed,https://ews.rightsindevelopment.org/projects/50107-002-ho-chi-minh-city-wastewater-and-drainage-system-im/,,Ho Chi Minh City Wastewater and Drainage System Improvement Project,Ho Chi Minh City,1,Vietnam,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,2,Infrastructure,Water and Sanitation,,,,,,1/29/18,12/12/17,10/24/16,,https://www.adb.org/projects/50107-002/main,400,400,No,No,No,No,0,No,,2,Tom Weerachat,Thien Hoang,,,,,
31490,ADB-51093-002,Published,A,Proposed,https://ews.rightsindevelopment.org/projects/51093-002-northern-to-central-500-kv-transmission-grid-reinf/,,Northern to Central 500 kV Transmission Grid Reinforcement Project,"Nam Dinh,Thanh Hoa, Quynh Lap-Nghe An, Vung Ang-Ha Tinh",1,Vietnam,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,2,Construction,Energy,,,,,,1/29/18,12/12/17,9/22/17,,https://www.adb.org/projects/51093-002/main,200,200,No,No,No,No,0,No,,2,Tom Weerachat,Thien Hoang,,,,,
31491,ADB-42180-019,Published,FI,Proposed,https://ews.rightsindevelopment.org/projects/42180-019-third-public-private-infrastructure-development-fa/,,Third Public-Private Infrastructure Development Facility-Tranche 2,,1,Bangladesh,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,0,,,,,,,,1/3/18,12/12/17,9/15/17,,https://www.adb.org/projects/42180-019/main,,,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
31499,ADB-41160-013,Published,U,Proposed,https://ews.rightsindevelopment.org/projects/41160-013-regional-power-generation-and-transmission-project/,,Regional Power Generation and Transmission Project (formerly Energy Efficiency Improvement Project I,,1,Bangladesh,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Energy,,,,,,,1/10/18,12/12/17,8/8/11,,https://www.adb.org/projects/41160-013/main,,260,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
31500,ADB-49376-002,Published,B,Proposed,https://ews.rightsindevelopment.org/projects/49376-002-climate-resilient-dairy-value-chain-development-pr/,,Climate-Resilient Dairy Value Chain Development Project,,1,Tajikistan,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Agriculture and Forestry,,,,,,,1/3/18,12/12/17,9/25/17,,https://www.adb.org/projects/49376-002/main,,20,Yes,No,No,No,0,No,,1,Ishita Petkar,,,,,,
